LB Rank;LB Team;Player Name
844;;Thomas Shelby
845;;SAMe
846;TSA;kyford
847;MagicHands;swag
848;;Edelweiss
849;;Остап
850;;Q11
851;;Rench~
852;;acnologia
853;;vahui
854;;A
855;;Saccade
856;V1dar;GrOOm
857;;Selivan
858;;em
859;;󠀡󠀡
860;;Saint
861;;Done
862;;Broken
863;;#HIGHBOT
864;;操一匹马
865;;GrandUrahara
866;;Owari
867;;tv/tricksterdota1
868;;サラマト1
869;;overthinking
870;Timebomb;msh
871;;stimulator
872;;pos 1 or grief
873;;ϟ Sword Art ϟ
874;KE;Zeppelin
875;;хахаха мда
876;;sejo
877;;BITAL9
878;WS;kdm
879;;Sighted
880;;вся эта кровь ww
881;;與屎的照片
882;;백아진
883;;xd
884;;Vivi Ornitier
885;;Slavi
886;;cvd
887;;perfect blue
888;;p y a n i y
889;;шизя ^^
890;;RICO
891;WC3;Matyushka
892;;Damic
893;;Red
894;BITP;KSi
895;;-Vision-
896;;Just_Bane
897;;YU
898;tv;thegogo9
899;;毁灭
900;;El Presidente
901;;FOcof
902;;Ataraxia
903;;jinchuriki
904;;спидраню
905;;at my purest
906;;slavic
907;afk;oneday
908;;hAzY
909;;shendoy
910;;M1ran-
911;;`~`
912;NOLIFE;Madlx
913;;tib
914;;Cу
915;;умиротворение
916;;maryjane
917;;ww
918;;zzz
919;;Retsu
920;;Flow
921;;МИСЧИФ
922;;Mariana Kiss
923;;Sweet pain
924;;DigitaL
925;;Майор Измайлов
926;;ветер
927;;shinigami
928;;stat3r
929;;игрок па кайфу
930;жардам;кульпон
931;;Paradigma
932;;////////////////
933;;require
934;;blank
935;;p
936;;not happy
937;;Kotarō
938;CRY;Crayon
939;;nochat idc anymore
940;NAVIj;gbc
941;;Frath
942;;Donhuano
943;;Shayansc
944;;SAURON
945;;racistmaxxing
946;dRds;yopoman
947;;chroMium
948;;akiyanora
949;;Allyson
950;EARTH;Porty
951;TDk;Feeling♥<
952;;-Haki-
953;;阿姆尼亚姆
954;RU;я стараюсь!!
955;;MoonMeander
956;;kkkkkkkk
957;;Кузя
958;;WokEw
959;;~Nnt
960;;find yourself
961;;Sultan!
962;;ShinShila
963;;me
964;;Hun1ah
965;;expromt
966;;erik
967;PLATOON;IGRIS
968;;๋
969;;calm
970;;focco
971;;MXZI
972;;saskeNo$-
973;NAVIj;Hyuga
974;a;SANDU
975;THR;Simon
976;;biY
977;;Imlatr0m
978;;GriM
979;Balto;Avanta
980;;Xenos
981;;че реально?
982;;GriP
983;LFT123;KIDFYI
984;;deliberate
985;;mei
986;;темичq
987;xvii;throw down your tears
988;PGČ;Mangup
989;;Сhigiryao
990;;n
991;;Scal1ger
992;;Ali
993;x;x.x
994;;<eblank>
995;;ab20
996;;Ashi
997;;NUTSHELL
998;;四
999;fbubble;twelve
1000;Infamous;slad1n-
1001;<3;arash
1002;;return to one's own place
1003;;jmn
1004;;spoiled
1005;;n1ght
1006;;chosen1
1007;;South america = slave material
1008;;something i missed
1009;;ueyo
1010;;Big Bob
1011;;Nolan
1012;AVLNC;Sumer
1013;;homo univeraslis
1014;;Pamplona´
1015;SRG;Korob9l1
1016;;M1roir
1017;GRIN;monkeys-forever
1018;;stray dog
1019;;Mzerfire丶
1020;;雨
1021;EG;Khan
1022;;Xo(1)
1023;;Bishkek
1024;FH;Hhhhhhh
1025;;npc
1026;;TomasBiceps'Jr
1027;;kinoue64
1028;;me
1029;;myaso diff
1030;PSK;DkFogas
1031;;blacklist
1032;;Ясность ума
1033;;oLp
1034;;18
1035;;Paradox
1036;;Crysen
1037;;Core or Troll
1038;EGB;2
1039;;Tense enjoyer
1040;;Bibachka
1041;;King Potato
1042;;Bomj German
1043;;Juice-
1044;;zeroy
1045;;BSV
1046;;1 or feed
1047;;smthlikeme
1048;;child abuse
1049;;Ssiasmiko
1050;;
1051;;m3
1052;;4e4o
1053;;New_Tuber
1054;DWG;never
1055;;tv/palichdota
1056;;Ne_SahaROK
1057;;Rain
1058;BaiduKING;Ares`
1059;HAVU;ilbert
1060;UB;discay
1061;;Josif
1062;;~Mani哲也-
1063;;1
1064;4A;Double King
1065;;Осенний лист1
1066;;1vs9win-mb one day
1067;DANZA;тесно(ТЕСНО)
1068;;QuesT
1069;;bsK-
1070;;Υπουργός Υπομονή
1071;;Mascot
1072;;KB055
1073;;tanga123123123
1074;;Michael
1075;;truepac
1076;;Kot1kMed0ed
1077;;sym21
1078;;watafa
1079;D;Eazy #bear
1080;;Onyx
1081;;0Dynamo<
1082;;Jolibepos5
1083;;DoMoVoY
1084;;L
1085;;хозяин
1086;qwe;Брайтон-
1087;;999
1088;;wi'm
1089;;haha
1090;;LittleBoy
1091;;somnia
1092;;1.23E+13
1093;;noclue
1094;tranquil;laptya
1095;;3131
1096;;kamerini
1097;;KingOne
1098;;Plakich
1099;;levarchik
1100;;Легенда вернулся
1101;;xv
1102;;вежливый
1103;KOS;Kxt
1104;;GEHAZ
1105;;eyvikinera
1106;MNC;Xrare
1107;x;x´
1108;WS;nike investor
1109;SB;DarkMen II
1110;;***** pitch
1111;;YOJ
1112;;TME
1113;;2Aqn
1114;;ваташи
1115;;Lionheart
1116;;dejump
1117;;дебилка
1118;;Noreason4l
1119;;Foxy
1120;;рудольф глиммер
1121;;MONKU
1122;;PosingAsMe
1123;;GG Bond
1124;;vamp
1125;;pidors4
1126;;мне похуй (mid)
1127;;AfricanLeader
1128;;puloff
1129;;Alex
1130;;依安
1131;;OblivioN
1132;;Xokep
1133;;Gom
1134;;шеф
1135;;unattainable life
1136;;dreammaker
1137;Raigor;
1138;));Ripan7
1139;;moncleramiri
1140;;yadiss
1141;;Droguito
1142;;400kg
1143;Hot;Rakuzan
1144;;pluxa
1145;;Patlatius
1146;;unhuman
1147;;Stitch
1148;;HEN1SH
1149;;Zasa
1150;;GuPERT
1151;;marionette’s fantasy`
1152;Fü;Messiah
1153;qqq;fate
1154;;onlylast
1155;;Nedved~
1156;;rescue heli spotter pipo
1157;RD;D[X]Pro
1158;MEMES;tv/temychq
1159;;+10-40 enjoyer
1160;;ganbaru
1161;;Asuna プライム
1162;;jjjjj
1163;;MMF
